BU,MPN,DEVICE,MPC,PSI_MASK,PRODUCT_FAMILY,PKG_CODE,LEAD_COUNT,CONFIGURATION,BB_REPOSITORY_NAME,PACKAGE,TEST_LOCATION,ATE,TSO_MAIN_SOURCE,TSO_EXECUTABLE,TSO_TEST_DEVICE,STDF_TP_NAME,TP_REV,RELEASE_DATE,HANDLER,INCOMING_MEDIA,TRANSFER_REQUIRED,SUBCON_PROCESS_STEP,OPERATION,TEMP,INSERTION,FLOW_ID,FLOW_TYPE,TEST_FLOW_GROUP,PROCESS_PLAN,STEP_NAME,BIN_GROUP,ACCEPT_BIN1_ONLY,SITES,INDEX_SECONDS,TEST_SECONDS,DAILY_CAP,TEST_YIELD,SUBCON_UTILIZATION,DAILY_TEST_IN,DAILY_TEST_OUT,REMARKS,DIE_ITEM,PRODUCT,TARGET_YIELD,HOLD_YIELD_LIMIT,UPPER_YIELD_LIMIT,OS_YIELD_LIMIT,SCRAP_YIELD_LIMIT,CDCA_DISPOSITION_INSTRUCTION,PRODUCT_CONTROL,TPE,TSE,BU_PE,BU_TE,MSCC_TECHNOLOGIST,FAB_LOCATION,ASSY_LOCATION,LB_14A,LB_SUPPLIER,LB_SUPPLIER_PARTNUMBER,SOCKET_14A,SOCKET_SUPPLIER,SOCKET_SUPPLIER_PARTNUMBER,CABLE_14A,CABLE_SUPPLIER,CABLE_SUPPLIER_PARTNUMBER,DUTBOARD_14A,DUTBOARD_SUPPLIER,DUTBOARD_SUPPLIER_PARTNUMBER,MAPBOARD_14A,MAPBOARD_SUPPLIER,MAPBOARD_SUPPLIER_PARTNUMBER,IND,PGM_KEY,INDEX,TEST_PROG_DIRECTORY_NAME,TEST_PROGRAM_DIRECTORY,SKIP_LOT_QA_1:10,QA_TEST_PROGRAM_NAME,STDF_DEVICE,SETUP_KEY,PSI_STATUS,TP_NAME,STDF_PROGRAM,MSCC_PLANNER,MSCC_PE_PRIMARY,MSCC_PE_BACKUP,MSCC_TE,LB_QTY,LB_TESTLOCATION,LB_STATUS,LB_N1,SOCKET_QTY,SUBCON_SOCKET_ID,LID_SOCKET_14A,LID_SOCKET_QTY,LID_SUBCON_SOCKET_ID,LID_SUPPLIER,LID_SUPPLIER_PARTNUMBER,ALIGNPLATE_SOCKET_14A,ALIGNPLATE_QTY,SUBCON_ALIGNPLATE_ID,ALIGNPLATE_SUPPLIER,ALIGNPLATE_SUPPLIER_PARTNUMBER,CABLE_QTY,SUBCON_CABLE_ID,DUTBOARD_QTY,DUTBOARD_SUBCON_ID,CHANGEKIT_QTY,SUBCON_CHANGEKIT_ID,CHANGEKIT_SUPPLIER,CHANGEKIT_SUPPLIER_PARTNUMBER,MAPBOARD_QTY,SUBCON_MAPBOARD_ID,
LCLD,LE9540CUQC.JA,L9540C_DUAL_Rev2P5,V20557M7CA01,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540C_DUAL_Rev2P5,,,L9540C_DUAL_Rev2P5,2.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.01,19726,0.95,0.65,12821.917808219177,12180.82191780822,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540CUQC.JB,L9540C_DUAL_Rev2P5,V20767M7CA01,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540C_DUAL_Rev2P5,,,L9540C_DUAL_Rev2P5,2.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.01,19726,0.95,0.65,12821.917808219177,12180.82191780822,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540CUQCT.JA,L9540C_Rev3P5,V2055TM7CA01,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540C_Rev3P5,,,L9540C_Rev3P5,3.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.29,10261,0.95,0.65,6669.833729216152,6336.342042755345,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540CUQCT.JA,L9540C_DUAL_Rev2P5,V2055TM7CA01,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540C_DUAL_Rev2P5,,,L9540C_DUAL_Rev2P5,2.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.01,20234,0.95,0.65,13152.224824355975,12494.613583138176,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540CUQCT.JB,L9540C_Rev3P5,V2076TM7CA01,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540C_Rev3P5,,,L9540C_Rev3P5,3.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.29,10261,0.95,0.65,6669.833729216152,6336.342042755345,-,J5240BFD,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540CUQCT.JB,L9540C_DUAL_Rev2P5,V2076TM7CA01,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540C_DUAL_Rev2P5,,,L9540C_DUAL_Rev2P5,2.5,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540C_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.01,20234,0.95,0.65,13152.224824355975,12494.613583138176,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQC.JA,L9540D_Rev3P7,V20557M7CA02,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540D_Rev3P7,,,L9540D_Rev3P7,3.7,2018-10-10 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.44,10549,0.95,0.65,6857.142857142857,6514.285714285714,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQC.JB,L9540D_Rev3P7,V20767M7CA02,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540D_Rev3P7,,,L9540D_Rev3P7,3.7,-,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.44,10549,0.95,0.65,6857.142857142857,6514.285714285714,-,J5240BFD,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQC.JA,L9540D_DUAL_Rev2P7,V20557M7CA02,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540D_DUAL_Rev2P7,,,L9540D_DUAL_Rev2P7,2.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.23,19242,0.95,0.65,12507.795100222716,11882.405345211579,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQC.JB,L9540D_DUAL_Rev2P7,V20767M7CA02,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540D_DUAL_Rev2P7,,,L9540D_DUAL_Rev2P7,2.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.23,19242,0.95,0.65,12507.795100222716,11882.405345211579,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQCT.JA,L9540D_Rev3P7,V2055TM7CA02,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540D_Rev3P7,,,L9540D_Rev3P7,3.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.44,10176,0.95,0.65,6614.840989399293,6284.098939929328,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQCT.JA,L9540D_DUAL_Rev2P7,V2055TM7CA02,V2055,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540D_DUAL_Rev2P7,,,L9540D_DUAL_Rev2P7,2.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JA,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.23,19264,0.95,0.65,12521.739130434782,11895.652173913042,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQCT.JB,L9540D_Rev3P7,V2076TM7CA02,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9540D_Rev3P7,,,L9540D_Rev3P7,3.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,1.0,0.75,7.74,10176,0.95,0.65,6614.840989399293,6284.098939929328,-,J5240BFD,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19846,East West Manufacturing,PCB100041/1145191-16387-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9540DUQCT.JB,L9540D_DUAL_Rev2P7,V2076TM7CA02,V2076,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_SE,L9540D_DUAL_Rev2P7,,,L9540D_DUAL_Rev2P7,2.7,2019-08-01 00:00:00,PNP_X4,Tray,No,T400,FCE,T87C,1.0,-,STD,STD_LE9540D_JB,FQ,"FCE(87C), FQE(85C)",CPG_LE_STD01,Yes,2.0,0.75,8.23,19242,0.95,0.65,12507.795100222716,11882.405345211579,-,J5240AAA,VE950,0.95,0.94,0.98,0.01,0.65,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19851,East West Manufacturing,PCB110011,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19852,East West Manufacturing,PCB140009,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQC.JA,L9541C_Rev2P4,V20567M7CA01,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.2,2019-09-20 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541C_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.79,20234,0.96,0.65,13152.224824355975,12626.135831381736,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQC.JB,L9541C_Rev2P4,V20757M7CA01,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-09-20 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541C_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.79,20234,0.96,0.65,13152.224824355975,12626.135831381736,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQCT.JA,L9541C_Rev2P4,V2056TM7CA01,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-09-20 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541C_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.79,20234,0.96,0.65,13152.224824355975,12626.135831381736,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQCT.JB,L9541C_Rev2P4,V2075TM7CA01,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-09-20 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541C_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.79,20234,0.96,0.65,13152.224824355975,12626.135831381736,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQC.JA,L9541C_Rev2P4,V20567M7CA01,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),NSEB,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-10-24 00:00:00,PNP_X4,Tray,No,,FCD,T25C,1.0,-,STD,STD_LE9541C_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.68,20498,0.96,0.65,13323.843416370106,12790.889679715301,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,NSEB,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQCT.JA,L9541C_Rev2P4,V2056TM7CA01,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),NSEB,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-10-24 00:00:00,PNP_X4,Tray,No,,FCD,T25C,1.0,-,STD,STD_LE9541C_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.68,20498,0.96,0.65,13323.843416370106,12790.889679715301,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,NSEB,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQC.JB,L9541C_Rev2P4,V20757M7CA01,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),NSEB,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-10-24 00:00:00,PNP_X4,Tray,No,,FCD,T25C,1.0,-,STD,STD_LE9541C_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.68,20498,0.96,0.65,13323.843416370106,12790.889679715301,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,NSEB,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541CUQCT.JB,L9541C_Rev2P4,V2075TM7CA01,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),NSEB,ETS300_LCLD,L9541C_Rev2P4,,,L9541C_Rev2P4,2.4,2019-10-24 00:00:00,PNP_X4,Tray,No,,FCD,T25C,1.0,-,STD,STD_LE9541C_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.68,20498,0.96,0.65,13323.843416370106,12790.889679715301,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,NSEB,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541DUQC.JA,L9541D_Rev2P5,V20567M7CA02,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541D_Rev2P5,,,L9541D_Rev2P5,2.5,2019-09-23 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541D_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.85,20093,0.96,0.65,13060.46511627907,12538.046511627908,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541DUQC.JB,L9541D_Rev2P5,V20757M7CA02,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541D_Rev2P5,,,L9541D_Rev2P5,2.5,2019-09-23 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541D_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.85,20093,0.96,0.65,13060.46511627907,12538.046511627908,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541DUQCT.JA,L9541D_Rev2P5,V2056TM7CA02,V2056,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541D_Rev2P5,,,L9541D_Rev2P5,2.5,2019-09-23 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541D_JA,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.85,20093,0.96,0.65,13060.46511627907,12538.046511627908,-,J5260AAA,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCLD,LE9541DUQCT.JB,L9541D_Rev2P5,V2075TM7CA02,V2075,VE950,M7C,40,VQFN_6X6,,QFN40 (6x6x0.9),ASEM,ETS300_LCLD,L9541D_Rev2P5,,,L9541D_Rev2P5,2.5,2019-09-23 00:00:00,PNP_X4,Tray,No,T400,FCD,T25C,1.0,-,STD,STD_LE9541D_JB,FQ,"FCD(25C), FQD(25C)",CPG_LE_STD01,Yes,2.0,0.75,7.85,20093,0.96,0.65,13060.46511627907,12538.046511627908,-,J5260BED,VE950,0.96,0.95,0.98,0.01,0.6,-,Leslie,HC Tan,Sun Sun,Mark Smith,Gilbert Figueroa,Mike Tranquillo,GF,ASEM,14-A19829,East West Manufacturing,SID00RD2085,14-A19847,IDI,210742-000,14-A19859,East West Manufacturing,SID-99RD2084,14-A19849,East West Manufacturing,PCB110010/116499-18634-F,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
